AALST,6741,25,1905,34,1648,35
AALST-KERREBROEK,26,537,,,,
AALTER,2178,64,981,53,765,72
AARSCHOT,6090,29,2171,30,1252,46
AARSELE,37,520,,,,
ACREN,179,373,77,296,80,274
AISEAU,81,470,29,414,24,415
ALKEN,565,187,237,147,321,125
AMAY,274,293,90,275,71,293
AMPSIN,144,410,27,426,22,423
ANDENNE,1615,84,418,103,420,101
ANGLEUR,642,165,100,262,91,254
ANS,1156,108,147,203,130,214
ANSEREMME,62,499,143,209,57,323
ANTOING,269,295,137,213,133,210
ANTWERPEN-BERCHEM,15001,12,7304,12,8488,9
ANTWERPEN-CAAL,36823,5,25453,1,19471,4
ANTWERPEN-LUCHTBAL,576,182,92,271,103,237
ANTWERPEN-NOORDERDOKKEN,184,369,48,356,31,390
ANTWERPEN-ZUID,2594,55,475,93,578,85
ANZEGEM,163,393,,,,
APPELTERRE,228,318,52,342,48,351
ARCADES,59,503,,,,
ARCHENNES,116,441,28,421,23,419
ARLON,4769,38,1517,41,2481,22
ASSE,952,123,260,138,165,183
ASSESSE,172,385,48,357,30,394
ATH,5334,35,3120,21,2593,21
ATHUS,1036,116,209,164,134,209
AUBANGE,76,476,,,,
AUVELAIS,497,207,218,158,202,164
AYE,44,515,13,483,17,450
AYWAILLE,223,324,72,299,73,290
BAASRODE-ZUID,182,372,,,,
BALEGEM-DORP,284,287,82,289,78,282
BALEGEM-ZUID,189,361,,,,
BALEN,356,255,117,235,94,247
BAMBRUGGE,39,517,,,,
BARVAUX,329,264,107,250,121,222
BAS-OHA,58,504,25,434,57,324
BASSE-WAVRE,461,222,70,306,52,342
BEAURAING,242,308,102,258,138,204
BEERNEM,647,164,230,152,206,160
BEERSEL,290,286,53,340,36,381
BEERVELDE,201,347,73,298,49,349
BEGIJNENDIJK,272,294,155,198,103,238
BEIGNEE,14,549,,,,
BELLEM,183,370,71,302,41,366
BELSELE,311,269,51,346,62,312
BERCHEM-ST-AG.-BERCHEM,770,146,166,188,158,193
BERINGEN,118,438,57,330,26,411
BERLAAR,414,238,196,171,195,167
BERTRIX,330,263,109,245,170,179
BERZEE,187,364,32,402,48,352
BEUZET,113,445,18,465,16,460
BEVEREN,1011,117,294,127,284,133
BEVERLO,156,402,60,325,53,334
BIERGES-WALIBI,154,404,797,67,578,86
BIERSET-AWANS,106,450,27,427,22,424
BILZEN,590,179,218,159,324,124
BINCHE,398,244,136,215,105,236
BISSEGEM,232,316,137,214,160,190
BLANKENBERGE,1795,75,1821,35,1673,33
BLANMONT,176,380,29,415,24,416
BLATON,504,202,147,204,148,198
BLERET,52,506,,,,
BOCKSTAEL,888,132,119,230,139,203
BOECHOUT,486,212,164,190,172,177
BOITSFORT/BOSVOORDE,855,137,149,200,121,223
BOKRIJK,186,366,113,240,162,186
BOMAL,222,325,91,272,90,257
BOOISCHOT,295,283,128,222,107,232
BOOM,307,276,107,251,76,284
BOONDAEL/BOONDAAL,1133,110,244,143,121,224
BOORTMEERBEEK,603,173,193,173,211,157
